TF,Cell
FGFR1,"""NK CD56dim_2"""
SREBF2,"""NK CD56dim_2"""
ATF1,"""NK CD56dim_2"""
FOXP1,"""NK CD56dim_2"""
MGEA5,"""NK CD56dim_2"""
E2F1,"""NK CD56dim_2"""
BRD2,"""NK CD56dim_2"""
SPIN1,"""NK CD56dim_2"""
HDAC1,"""NK CD56dim_2"""
TERF1,"""NK CD56dim_2"""
EBNA2,"""NK CD56dim_2"""
HCFC1,"""NK CD56dim_2"""
PRDM11,"""NK CD56dim_2"""
SIX5,"""NK CD56dim_2"""
BACH2,"""NK CD56dim_2"""
ZNF597,"""NK CD56dim_2"""
EGR1,"""NK CD56dim_2"""
DCP1A,"""NK CD56dim_2"""
DDX21,"""NK CD56dim_2"""
TFDP1,"""NK CD56dim_2"""
EZH1,"""NK CD56dim_2"""
ZNF711,"""NK CD56dim_2"""
KRAB,"""NK CD56dim_2"""
MLLT3,"""NK CD56dim_2"""
ZNF430,"""NK CD56dim_2"""
XRN2,"""NK CD56dim_2"""
