TF,Cell
CAMTA2,"""CD8 TEM_2"""
ZFP2,"""CD8 TEM_2"""
ZNF610,"""CD8 TEM_2"""
MAX,"""CD8 TEM_2"""
POLR2AphosphoS5,"""CD8 TEM_2"""
MYC,"""CD8 TEM_2"""
PGR,"""CD8 TEM_2"""
RFX2,"""CD8 TEM_2"""
ZNF675,"""CD8 TEM_2"""
RBL1,"""CD8 TEM_2"""
H2AFX,"""CD8 TEM_2"""
CDK6,"""CD8 TEM_2"""
CD14,"Mono ""CD14 Mono"""
GLI2,"""CD14 Mono"""
MED1,"""CD14 Mono"""
RXRG,"""CD14 Mono"""
CD74,"""CD14 Mono"""
SPI1,"""CD14 Mono"""
CDK8,"""CD14 Mono"""
CDK9,"""CD14 Mono"""
INO80,"""CD14 Mono"""
RUNX1,"""CD14 Mono"""
CEBPA,"""CD14 Mono"""
MLLT1,"""CD14 Mono"""
YY1,"""CD14 Mono"""
ETS1,"""CD14 Mono"""
BRD4,"""CD14 Mono"""
IRF1,"""CD14 Mono"""
FLI1,"""CD14 Mono"""
KMT2D,"""CD14 Mono"""
GTF2B,"""CD14 Mono"""
CBFB,"""CD14 Mono"""
FOXP3,"""CD14 Mono"""
AFF1,"""CD14 Mono"""
ELK4,"""CD14 Mono"""
SMAD5,"""CD14 Mono"""
NFATC1,"""CD14 Mono"""
AFF4,"""CD14 Mono"""
KMT2A,"""CD14 Mono"""
SNAPC1,"""CD14 Mono"""
NELFE,"""CD14 Mono"""
GABPA,"""CD14 Mono"""
NELFA,"""CD14 Mono"""
STAT5,"""CD14 Mono"""
NCOR1,"""CD14 Mono"""
RELA,"""CD14 Mono"""
ELF2,"""CD14 Mono"""
POLR2A,"""CD14 Mono"""
KDM5A,"""CD14 Mono"""
REL,"""CD14 Mono"""
MYH11,"""CD14 Mono"""
MORC2,"""CD14 Mono"""
GMEB2,"""CD14 Mono"""
MAF,"""CD14 Mono"""
BCL11B,"""CD14 Mono"""
ELK1,"""CD14 Mono"""
ARNTL,"""CD14 Mono"""
CREBBP,"""CD14 Mono"""
GMEB1,"""CD14 Mono"""
PAF1,"""CD14 Mono"""
CDK7,"""CD14 Mono"""
KAT5,"""CD14 Mono"""
NOTCH1,"""CD14 Mono"""
ZIC2,"""CD14 Mono"""
NR2C2,"""CD14 Mono"""
SUPT5H,"""CD14 Mono"""
BRCA1,"""CD14 Mono"""
BCL6,"""CD14 Mono"""
ELL2,"""CD14 Mono"""
MAFB,"""CD14 Mono"""
ASH1L,"""CD14 Mono"""
KLF15,"""CD14 Mono"""
ATF1,"""CD14 Mono"""
ZBTB33,"""CD14 Mono"""
RBP2,"""CD14 Mono"""
RBPJ,"""CD14 Mono"""
PML,"""CD14 Mono"""
RBL2,"""CD14 Mono"""
PHF8,"""CD14 Mono"""
RPE,"""CD14 Mono"""
ZNF131,"""CD14 Mono"""
HCFC1,"""CD14 Mono"""
NRF1,"""CD14 Mono"""
